L-WF-FAILURES-SURFACE	-	-	-	sharedmention
L-WF-FLAGS-UI	-	-	-	-
L-WF-IDREG	web-wf-idreg	/Users/svendaneel/okam/web-wf-idreg	/Users/svendaneel/okam/web-wf-idreg	sharedmention
L-WF-INVITE-SURFACE	wt-wfinvite	/Users/svendaneel/okam/wt-wfinvite	/Users/svendaneel/okam/wt-wfinvite	sharedmention
L-WF-KODEOVERSIKT-UI	web-kodeui	/Users/svendaneel/okam/web-kodeui,/Users/svendaneel/okam/web-wf-idreg	/Users/svendaneel/okam/web-kodeui	-
L-WF-LINK-DEADEND	web-linkdeadend	/Users/svendaneel/okam/web-blindbind,/Users/svendaneel/okam/web-linkdeadend	-	-
L-WF-ONBOARD	-	-	-	-
L-WF-OPLINK	web-wf-oplink	/Users/svendaneel/okam/web-pos-clock,/Users/svendaneel/okam/web-wf-oplink	-	-
L-WF-PIVOT-DEFECTS	-	-	-	sharedmention
L-WF-PUBHIST	-	-	-	-
L-WF-PUNCH-UI	-	-	-	-
L-WF-ROLES-UI	-	-	-	-
L-WF-TIMESHEET-UI	-	-	-	-
L-WORLD-STAMP-WINDOWS	-	-	-	-
