--	4727090d	refs/heads/lane/training-admin	
--	e9ba89e2	refs/heads/lane/wf-adjust-address	
C-	a649e080	refs/heads/lane/wf-idreg	
CM	e34977ac	refs/heads/lane/wf-invite-surface	
C-	19ad0015	refs/heads/lane/wf-kodeoversikt-ui	
--	2d86446b	refs/heads/lane/wf-pubhist	
C-	ff21e488	refs/heads/lane/wf-roles-ui	
--	618efc88	refs/heads/lane/wf-timesheet-ui	
--	319ec253	refs/heads/lane/workforce-roster	
C-	0cea96ac	refs/heads/lane/worktree-basename-pin	
CM	e7896bc6	refs/heads/main	
CM	d64c56ae	refs/heads/swiss	
--	c8f26d52	refs/lanes/L-CHECK-DISCOUNT-SUM-COUPLED	
--	c32cda3c	refs/lanes/L-CHECK-LINEAMOUNT-UNGATED-SUM	
C-	35e5cdd6	refs/lanes/L-OFFER-PARTIAL-SUBTOTAL	
--	c4a4fa44	refs/lanes/L-PRICE-BYPASS-FIVE	
--	7a72c02c	refs/lanes/L-RECEIPT-DISCOUNT-ROW-DROPPED	
C-	997936ad	refs/lanes/L-WORLD-STAMP-WINDOWS	
--	b150668b	refs/lanes/L-XZ-NEGATED-ABSENCE	
--	799f05d4	refs/lanes/L-XZ-RESIDUAL-SITES	
--	51970563	refs/lanes/plan-snapshot	
